iter	Passed	Remaining
610	1308	832
611	1310	830
612	1312	828
613	1314	826
614	1316	824
615	1318	821
616	1320	819
617	1322	817
618	1325	815
619	1327	813
620	1329	811
621	1331	809
622	1333	807
623	1335	804
624	1337	802
625	1340	800
626	1342	798
627	1344	796
628	1346	794
629	1348	791
630	1350	789
631	1352	787
632	1354	785
633	1356	783
634	1359	781
635	1361	779
636	1363	776
637	1365	774
638	1367	772
639	1369	770
640	1371	768
641	1373	766
642	1375	763
643	1378	761
644	1379	759
645	1382	757
646	1384	755
647	1386	753
648	1388	750
649	1390	748
650	1392	746
651	1394	744
652	1396	742
653	1398	740
654	1401	738
655	1403	736
656	1405	733
657	1407	731
658	1410	729
659	1412	727
660	1414	725
661	1416	723
662	1418	721
663	1420	718
664	1422	716
665	1424	714
666	1426	712
667	1428	710
668	1431	708
669	1433	705
670	1435	703
671	1437	701
672	1439	699
673	1441	697
674	1443	694
675	1445	692
676	1447	690
677	1449	688
678	1451	686
679	1454	684
680	1456	682
681	1458	680
682	1460	678
683	1462	675
684	1464	673
685	1467	671
686	1469	669
687	1471	667
688	1473	665
689	1475	662
690	1477	660
691	1479	658
692	1481	656
693	1483	654
694	1485	651
695	1487	649
696	1489	647
697	1491	645
698	1494	643
699	1496	641
700	1498	639
701	1501	637
702	1503	635
703	1505	632
704	1507	630
705	1509	628
706	1511	626
707	1513	624
708	1515	622
709	1517	619
710	1519	617
711	1522	615
712	1524	613
713	1526	611
714	1528	609
715	1531	607
716	1533	605
717	1535	603
718	1537	600
719	1539	598
720	1541	596
721	1543	594
722	1545	592
723	1547	589
724	1549	587
725	1551	585
726	1554	583
727	1556	581
728	1558	579
729	1560	577
730	1562	574
731	1564	572
732	1566	570
733	1568	568
734	1570	566
735	1572	564
736	1574	561
737	1576	559
738	1579	557
739	1581	555
740	1583	553
741	1585	551
742	1587	549
743	1589	546
744	1591	544
745	1593	542
746	1596	540
747	1598	538
748	1600	536
749	1603	534
750	1605	532
751	1607	530
752	1609	527
753	1611	525
754	1613	523
755	1615	521
756	1617	519
757	1620	517
758	1622	515
759	1624	512
760	1626	510
761	1628	508
762	1630	506
763	1632	504
764	1634	502
765	1636	499
766	1638	497
767	1640	495
768	1642	493
769	1644	491
770	1646	489
771	1648	486
772	1651	484
773	1653	482
774	1655	480
775	1657	478
776	1659	476
777	1661	474
778	1663	471
779	1665	469
780	1668	467
781	1670	465
782	1672	463
783	1674	461
784	1676	459
785	1678	457
786	1680	454
787	1682	452
788	1685	450
789	1687	448
790	1689	446
791	1691	444
792	1694	442
793	1696	440
794	1698	438
795	1700	435
796	1702	433
797	1705	431
798	1707	429
799	1709	427
800	1711	425
801	1713	423
802	1715	420
803	1718	418
804	1720	416
805	1722	414
806	1724	412
807	1726	410
808	1728	408
809	1730	405
810	1732	403
811	1734	401
812	1736	399
813	1738	397
814	1740	395
815	1742	392
816	1744	390
817	1746	388
818	1748	386
819	1751	384
820	1752	382
821	1754	380
822	1756	377
823	1758	375
824	1761	373
825	1763	371
826	1765	369
827	1767	367
828	1769	364
829	1771	362
830	1774	360
831	1776	358
832	1778	356
833	1780	354
834	1782	352
835	1784	350
836	1786	348
837	1789	345
838	1791	343
839	1794	341
840	1796	339
841	1798	337
842	1800	335
843	1802	333
844	1805	331
845	1807	328
846	1809	326
847	1811	324
848	1813	322
849	1815	320
850	1817	318
851	1819	316
852	1821	313
853	1823	311
854	1826	309
855	1828	307
856	1830	305
857	1832	303
858	1834	301
859	1836	298
860	1838	296
861	1840	294
862	1842	292
863	1845	290
864	1847	288
865	1849	286
866	1851	284
867	1853	281
868	1855	279
869	1857	277
870	1859	275
871	1861	273
872	1864	271
873	1866	269
874	1868	266
875	1870	264
876	1872	262
877	1874	260
878	1876	258
879	1878	256
880	1880	254
881	1883	251
882	1885	249
883	1887	247
884	1889	245
885	1891	243
886	1893	241
887	1895	239
888	1898	236
889	1900	234
890	1902	232
891	1904	230
892	1906	228
893	1909	226
894	1911	224
895	1913	222
896	1915	219
897	1917	217
898	1919	215
899	1921	213
900	1923	211
901	1925	209
902	1927	207
903	1929	204
904	1932	202
905	1934	200
906	1936	198
907	1938	196
908	1940	194
909	1943	192
910	1945	190
911	1947	187
912	1949	185
913	1951	183
914	1953	181
915	1955	179
916	1957	177
917	1960	175
918	1962	172
919	1964	170
920	1966	168
921	1968	166
922	1970	164
923	1972	162
924	1974	160
925	1976	157
926	1979	155
927	1981	153
928	1983	151
929	1985	149
930	1987	147
931	1989	145
932	1991	143
933	1993	140
934	1996	138
935	1998	136
936	2000	134
937	2002	132
938	2004	130
939	2007	128
940	2009	125
941	2011	123
942	2013	121
943	2015	119
944	2018	117
945	2020	115
946	2022	113
947	2024	111
948	2027	108
949	2029	106
950	2031	104
951	2033	102
952	2035	100
953	2037	98
954	2039	96
955	2042	93
956	2044	91
957	2046	89
958	2048	87
959	2050	85
960	2052	83
961	2054	81
962	2056	79
963	2059	76
964	2061	74
965	2063	72
966	2065	70
967	2067	68
968	2069	66
969	2071	64
970	2073	61
971	2075	59
972	2077	57
973	2079	55
974	2082	53
975	2084	51
976	2086	49
977	2088	46
978	2090	44
979	2092	42
980	2095	40
981	2097	38
982	2099	36
983	2101	34
984	2103	32
985	2105	29
986	2108	27
987	2110	25
988	2112	23
989	2114	21
990	2116	19
991	2118	17
992	2120	14
993	2122	12
994	2124	10
995	2126	8
996	2128	6
997	2130	4
998	2133	2
999	2135	0
