iter	RMSE
449	5691.59325
450	5691.585762
451	5691.5783
452	5691.570912
453	5691.563572
454	5691.556294
455	5691.549069
456	5691.541902
457	5691.53483
458	5691.527787
459	5691.520506
460	5691.513437
461	5691.506354
462	5691.499542
463	5691.491208
464	5691.485276
465	5691.477615
466	5691.470362
467	5691.4642
468	5691.452885
469	5691.444627
470	5691.433322
471	5691.424692
472	5691.415731
473	5691.407041
474	5691.397514
475	5691.388695
476	5691.380791
477	5691.373009
478	5691.36404
479	5691.355474
480	5691.347871
481	5691.341224
482	5691.331752
483	5691.325219
484	5691.316211
485	5691.308331
486	5691.300525
487	5691.293006
488	5691.285239
489	5691.278441
490	5691.271686
491	5691.264449
492	5691.257501
493	5691.250288
494	5691.242976
495	5691.236237
496	5691.2285
497	5691.221287
498	5691.214142
499	5691.207285
500	5691.201073
501	5691.194192
502	5691.187535
503	5691.180615
504	5691.173945
505	5691.168124
506	5691.160515
507	5691.154485
508	5691.149063
509	5691.14135
510	5691.134924
511	5691.127955
512	5691.121347
513	5691.114646
514	5691.108076
515	5691.101526
516	5691.09505
517	5691.088619
518	5691.082249
519	5691.075842
520	5691.070075
521	5691.063685
522	5691.057992
523	5691.051191
524	5691.044736
525	5691.038669
526	5691.032502
527	5691.026114
528	5691.020495
529	5691.014673
530	5691.00815
531	5691.002063
532	5690.99584
533	5690.989764
534	5690.983693
535	5690.978095
536	5690.972555
537	5690.967321
538	5690.961635
539	5690.956112
540	5690.949949
541	5690.943733
542	5690.93662
543	5690.930988
544	5690.925662
545	5690.917551
546	5690.910991
547	5690.903755
548	5690.896943
549	5690.890001
550	5690.883205
551	5690.876415
552	5690.8697
553	5690.863026
554	5690.856409
555	5690.84984
556	5690.843323
557	5690.836856
558	5690.830439
559	5690.824197
560	5690.818211
561	5690.811767
562	5690.805788
563	5690.800899
564	5690.793976
565	5690.788188
566	5690.781915
567	5690.775958
568	5690.769915
569	5690.763984
570	5690.758066
571	5690.752211
572	5690.746392
573	5690.740623
574	5690.734895
575	5690.729214
576	5690.723575
577	5690.71798
578	5690.712428
579	5690.706918
580	5690.700927
581	5690.696251
582	5690.690006
583	5690.685098
584	5690.679489
585	5690.674609
586	5690.668538
587	5690.66369
588	5690.657061
589	5690.651563
590	5690.645377
591	5690.640061
592	5690.634148
593	5690.628578
594	5690.623166
595	5690.617825
596	5690.612265
597	5690.607397
598	5690.601417
599	5690.597161
600	5690.591729
601	5690.587348
602	5690.581204
603	5690.576045
604	5690.570466
605	5690.565163
606	5690.559785
607	5690.554506
608	5690.54924
609	5690.544028
610	5690.53885
611	5690.533928
612	5690.527849
613	5690.522358
614	5690.517439
615	5690.512561
616	5690.506127
617	5690.500685
618	5690.495863
619	5690.490409
620	5690.484445
621	5690.478814
622	5690.473091
623	5690.467487
624	5690.461895
625	5690.456369
626	5690.450881
627	5690.445444
628	5690.440051
629	5690.434706
630	5690.429405
631	5690.42415
632	5690.41894
633	5690.413774
634	5690.408652
635	5690.403393
636	5690.398603
637	5690.393639
638	5690.388819
639	5690.383815
640	5690.378742
641	5690.373768
642	5690.369262
643	5690.364932
644	5690.35928
645	5690.354062
646	5690.348593
647	5690.343891
648	5690.338961
649	5690.334418
650	5690.329201
651	5690.324387
652	5690.31998
653	5690.314817
654	5690.310712
655	5690.305451
656	5690.300717
657	5690.29568
658	5690.291311
659	5690.286757
660	5690.281998
661	5690.277859
662	5690.27375
663	5690.26904
664	5690.264825
665	5690.260226
666	5690.255721
667	5690.2514
668	5690.247221
669	5690.243384
670	5690.239362
671	5690.234922
672	5690.229746
673	5690.225009
674	5690.220117
675	5690.215365
676	5690.210613
677	5690.20519
678	5690.200813
679	5690.196949
680	5690.192914
681	5690.188305
682	5690.183356
683	5690.178634
684	5690.173855
685	5690.16916
686	5690.164477
687	5690.159842
688	5690.155237
689	5690.150671
690	5690.146136
691	5690.141834
692	5690.137269
693	5690.132889
694	5690.128469
695	5690.124119
696	5690.119785
697	5690.115519
698	5690.111179
699	5690.107249
700	5690.102277
701	5690.098841
702	5690.094098
703	5690.090086
704	5690.085764
705	5690.081648
706	5690.077658
707	5690.07351
708	5690.069393
709	5690.065684
710	5690.061175
711	5690.057241
712	5690.053072
713	5690.049069
714	5690.045103
715	5690.041572
716	5690.038156
717	5690.033855
718	5690.030006
719	5690.02598
720	5690.022089
721	5690.018182
722	5690.014858
723	5690.010695
724	5690.007009
725	5690.003133
726	5689.999396
727	5689.995476
728	5689.990276
729	5689.985801
730	5689.981029
731	5689.976467
732	5689.97186
733	5689.967334
734	5689.962825
735	5689.958366
736	5689.953939
737	5689.949553
738	5689.945203
739	5689.94089
740	5689.936614
741	5689.932375
742	5689.928171
743	5689.923808
744	5689.920791
745	5689.917891
746	5689.914084
747	5689.911138
748	5689.906911
749	5689.903237
750	5689.899152
751	5689.895267
752	5689.891792
753	5689.888367
754	5689.883854
755	5689.879957
756	5689.87581
757	5689.871841
758	5689.867835
759	5689.863899
760	5689.859978
761	5689.8561
762	5689.85225
763	5689.848436
764	5689.844652
765	5689.840902
766	5689.837183
767	5689.833496
768	5689.829841
769	5689.826476
770	5689.822969
771	5689.819314
772	5689.815779
773	5689.812204
774	5689.807233
775	5689.803347
776	5689.799448
777	5689.795834
778	5689.792387
779	5689.788376
780	5689.784857
781	5689.78139
782	5689.777942
783	5689.774711
784	5689.771613
785	5689.768516
786	5689.765154
787	5689.762403
788	5689.759812
789	5689.75491
790	5689.751572
791	5689.746989
792	5689.743569
793	5689.739811
794	5689.735818
795	5689.732102
796	5689.728646
797	5689.725061
798	5689.721556
799	5689.717771
800	5689.714611
801	5689.711133
802	5689.707492
803	5689.704093
804	5689.700937
805	5689.69769
806	5689.694373
807	5689.691503
808	5689.688503
809	5689.685887
810	5689.682567
811	5689.679896
812	5689.676365
813	5689.673691
814	5689.671048
815	5689.667352
816	5689.663575
817	5689.660044
818	5689.656244
819	5689.652624
820	5689.648957
821	5689.645355
822	5689.641763
823	5689.638207
824	5689.634675
825	5689.631172
826	5689.627695
827	5689.624245
828	5689.620822
829	5689.617426
830	5689.614055
831	5689.610711
832	5689.607392
833	5689.604099
834	5689.600831
835	5689.597589
836	5689.594371
837	5689.591245
838	5689.588014
839	5689.585027
840	5689.581403
841	5689.578094
842	5689.574672
843	5689.57135
844	5689.568021
845	5689.564738
846	5689.561475
847	5689.558307
848	5689.555294
849	5689.552014
850	5689.54891
851	5689.545759
852	5689.542672
853	5689.539592
854	5689.536548
855	5689.533526
856	5689.530531
857	5689.527561
858	5689.524617
859	5689.521697
860	5689.518803
861	5689.515933
862	5689.513088
863	5689.510267
864	5689.507506
865	5689.504102
866	5689.500901
867	5689.497552
868	5689.494732
869	5689.491749
870	5689.488372
871	5689.485362
872	5689.482722
873	5689.479868
874	5689.477158
875	5689.474411
876	5689.471718
877	5689.469201
878	5689.465882
879	5689.463008
880	5689.460149
881	5689.457015
882	5689.454453
883	5689.451365
884	5689.448725
885	5689.445813
886	5689.443051
887	5689.440151
888	5689.437656
889	5689.434936
890	5689.432491
891	5689.429738
892	5689.427256
893	5689.424443
894	5689.421676
895	5689.419079
896	5689.416517
897	5689.41397
898	5689.411448
899	5689.408946
900	5689.406575
901	5689.403569
902	5689.401109
903	5689.398639
904	5689.396206
905	5689.393786
906	5689.391448
907	5689.388114
908	5689.385787
909	5689.383566
910	5689.379834
911	5689.376944
912	5689.373683
913	5689.370893
914	5689.36805
915	5689.365475
916	5689.361927
917	5689.359162
918	5689.356127
919	5689.353304
920	5689.350723
921	5689.348475
922	5689.344904
923	5689.34207
924	5689.338913
925	5689.335955
926	5689.332934
927	5689.329979
928	5689.327025
929	5689.324105
930	5689.321202
931	5689.318325
932	5689.315468
933	5689.312633
934	5689.309821
935	5689.30703
936	5689.304261
937	5689.301513
938	5689.298899
939	5689.29655
940	5689.294062
941	5689.290753
942	5689.287842
943	5689.285573
944	5689.283299
945	5689.280692
946	5689.278473
947	5689.276281
948	5689.274225
949	5689.271173
950	5689.268619
951	5689.265876
952	5689.26397
953	5689.261755
954	5689.258821
955	5689.256516
956	5689.253519
957	5689.251622
958	5689.248501
959	5689.246061
960	5689.243321
961	5689.240765
962	5689.238147
963	5689.235591
964	5689.233167
965	5689.230869
966	5689.228382
967	5689.22582
968	5689.223325
969	5689.22078
970	5689.218643
971	5689.215707
972	5689.213702
973	5689.212007
974	5689.208843
975	5689.206775
976	5689.204096
977	5689.201801
978	5689.199294
979	5689.197507
980	5689.194611
981	5689.192333
982	5689.189783
983	5689.1874
984	5689.184962
985	5689.182579
986	5689.180197
987	5689.177842
988	5689.175524
989	5689.173314
990	5689.171157
991	5689.168317
992	5689.165789
993	5689.163609
994	5689.161284
995	5689.159058
996	5689.156876
997	5689.154844
998	5689.15307
999	5689.151074
